PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=286 ttl=50 time=162 ms
64 bytes from 5.180.211.133: icmp_seq=287 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=288 ttl=50 time=79.9 ms
64 bytes from 5.180.211.133: icmp_seq=289 ttl=50 time=140 ms
64 bytes from 5.180.211.133: icmp_seq=290 ttl=50 time=139 ms
64 bytes from 5.180.211.133: icmp_seq=291 ttl=50 time=88.7 ms
64 bytes from 5.180.211.133: icmp_seq=292 ttl=50 time=186 ms
64 bytes from 5.180.211.133: icmp_seq=293 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=294 ttl=50 time=107 ms
64 bytes from 5.180.211.133: icmp_seq=295 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=296 ttl=50 time=271 ms
64 bytes from 5.180.211.133: icmp_seq=297 ttl=50 time=90.8 ms
64 bytes from 5.180.211.133: icmp_seq=298 ttl=50 time=90.2 ms
64 bytes from 5.180.211.133: icmp_seq=299 ttl=50 time=140 ms
64 bytes from 5.180.211.133: icmp_seq=300 ttl=50 time=137 ms

--- lon.speedtest.clouvider.net ping statistics ---
300 packets transmitted, 300 received, 0% packet loss, time 60543ms
rtt min/avg/max/mdev = 77.038/119.018/516.092/66.065 ms, pipe 3
